"","plot","x","y","block_BS.mod","TOTAL_cm","AHOR_cm","REDOX_cm"
"1",1,1,1,"B",37.67,25,32
"2",2,1,2,"B",39.33,27.67,26.67
"3",3,1,3,"B",38,22,10
"4",4,1,4,"B",40.67,24.33,27.83
"5",5,1,5,"A",40,25,40
"6",6,1,6,"A",39.67,23,36.5
"7",7,1,7,"A",42.33,23.33,NA
"8",8,1,8,"A",43.67,30,NA
"9",9,1,9,"",41.33,21.67,15
"10",10,1,10,"A",42.67,23,NA
"11",11,1,11,"",40.67,17.67,15
"12",12,1,12,"A",42.33,42.33,NA
"13",13,1,13,"",41.67,11.33,NA
"14",14,1,14,"A",41.33,41,31.5
"15",15,1,15,"A",42.33,42.33,36
"16",16,1,16,"A",40.67,40.67,34
"17",17,1,17,"A",40.33,37.67,36.5
"18",18,1,18,"A",40.67,40.67,38
"19",19,2,1,"B",41.67,26.67,27.33
"20",20,2,2,"B",35.67,25.5,35
"21",21,2,3,"B",40,25.67,15
"22",22,2,4,"B",40.33,30,29.67
"23",23,2,5,"A",41,34,NA
"24",24,2,6,"A",43.33,43,NA
"25",25,2,7,"A",39.33,39.33,30
"26",26,2,8,"A",42.5,42.5,NA
"27",27,2,9,"A",42.33,42.33,NA
"28",28,2,10,"A",42.33,42.33,NA
"29",29,2,11,"A",42.67,42.67,NA
"30",30,2,12,"A",40.33,40.33,NA
"31",31,2,13,"A",41.33,41.33,39.33
"32",32,2,14,"A",41.33,41.33,32.33
"33",33,2,15,"A",40.33,40.33,27.33
"34",34,2,16,"A",41,41,39
"35",35,2,17,"A",40.33,40.33,21.67
"36",36,2,18,"A",41,41,32
"37",37,3,1,"B",42.33,32,32.5
"38",38,3,2,"B",40,28.67,29
"39",39,3,3,"B",39.67,25.67,33.67
"40",40,3,4,"B",38.67,33.33,38
"41",41,3,5,"A",42,33.67,22
"42",42,3,6,"A",40,37.33,33
"43",43,3,7,"A",41.33,38.33,39
"44",44,3,8,"A",43,41.67,43
"45",45,3,9,"A",43.33,43.33,NA
"46",46,3,10,"A",41.67,41.67,40
"47",47,3,11,"A",41,40.67,16
"48",48,3,12,"A",40.33,40,21
"49",49,3,13,"A",40.33,40.33,7
"50",50,3,14,"A",41.67,41.67,24
"51",51,3,15,"A",41.67,41.67,34
"52",52,3,16,"A",40.67,40.67,23.33
"53",53,3,17,"A",41.33,41.33,33
"54",54,3,18,"A",40,40,28.5
"55",55,4,1,"B",41.33,28.33,35
"56",56,4,2,"B",38,31,NA
"57",57,4,3,"B",38.33,27,31
"58",58,4,4,"B",42,29,38
"59",59,4,5,"A",43,31,NA
"60",60,4,6,"A",43,35,40
"61",61,4,7,"A",41.33,33,8
"62",62,4,8,"A",40.67,38,NA
"63",63,4,9,"A",40.33,39.67,NA
"64",64,4,10,"A",40.33,39,26.5
"65",65,4,11,"A",40.33,37.33,22
"66",66,4,12,"A",41,41,32
"67",67,4,13,"A",42.33,38.33,23
"68",68,4,14,"A",40.67,40.67,31.33
"69",69,4,15,"A",39.67,39.67,40
"70",70,4,16,"A",40.33,40.33,20
"71",71,4,17,"A",40.33,40.33,18.67
"72",72,4,18,"A",41.67,41.67,19.67
"73",73,5,1,"B",42,27.33,23.67
"74",74,5,2,"B",40.67,31.67,34
"75",75,5,3,"B",39.67,27.67,26
"76",76,5,4,"B",40,28.67,NA
"77",77,5,5,"B",42.67,28.67,19.5
"78",78,5,6,"B",41,27.33,NA
"79",79,5,7,"B",39,32,38
"80",80,5,8,"B",39,30,NA
"81",81,5,9,"B",42,30.67,NA
"82",82,5,10,"B",40,33.33,30
"83",83,5,11,"B",39.33,35.67,33.5
"84",84,5,12,"B",36.33,36,25
"85",85,5,13,"B",40.67,34.33,NA
"86",86,5,14,"B",39.33,39.33,34.5
"87",87,5,15,"A",41,41,20.33
"88",88,5,16,"A",39.67,39.67,27.67
"89",89,5,17,"A",39.33,39.33,26
"90",90,5,18,"A",40.67,40.67,NA
"91",91,6,1,"B",40.33,27.67,NA
"92",92,6,2,"B",40,32.33,9
"93",93,6,3,"B",38,26.33,34.5
"94",94,6,4,"B",37.67,25.67,29.33
"95",95,6,5,"B",41.33,25.33,27
"96",96,6,6,"B",40.33,26.33,NA
"97",97,6,7,"B",40.33,29.33,22
"98",98,6,8,"B",42,31.67,NA
"99",99,6,9,"B",40.67,33.33,34.5
"100",100,6,10,"B",40,31.67,36
"101",101,6,11,"B",39.67,30.67,5
"102",102,6,12,"B",40,32.67,36
"103",103,6,13,"B",40.67,31,34.67
"104",104,6,14,"B",39.67,35.33,18
"105",105,6,15,"A",40.67,40.67,26
"106",106,6,16,"A",39.67,39.67,38
"107",107,6,17,"A",40.33,40.33,27
"108",108,6,18,"A",40.67,40.67,18
"109",109,7,1,"B",41.67,29.33,31.33
"110",110,7,2,"B",39.67,33.67,32.67
"111",111,7,3,"B",40,32.33,30.67
"112",112,7,4,"B",41,30.33,35.5
"113",113,7,5,"",40,24.33,28
"114",114,7,6,"B",40.33,32.67,31
"115",115,7,7,"B",42.67,29.33,35.5
"116",116,7,8,"B",40,29,36
"117",117,7,9,"B",40,27.5,36
"118",118,7,10,"B",41,30.67,16.67
"119",119,7,11,"B",40.33,32.67,40
"120",120,7,12,"B",41,28,25
"121",121,7,13,"B",40,29.33,28
"122",122,7,14,"B",39.67,30,22
"123",123,7,15,"A",43,34,16
"124",124,7,16,"A",40.67,40.33,31
"125",125,7,17,"A",41,41,27
"126",126,7,18,"A",41,41,22
"127",127,8,1,"B",40,33,21.5
"128",128,8,2,"B",33.33,30.33,19
"129",129,8,3,"B",40,26,21.67
"130",130,8,4,"B",39.33,30.33,34
"131",131,8,5,"B",40,29.67,32
"132",132,8,6,"B",40.33,31.33,15
"133",133,8,7,"B",41,28,33
"134",134,8,8,"B",39.67,31,31
"135",135,8,9,"B",40.67,31.67,31.5
"136",136,8,10,"B",41.33,28,25.33
"137",137,8,11,"B",41.33,31.67,13
"138",138,8,12,"B",41.67,31.33,21
"139",139,8,13,"",41.33,19.33,16.33
"140",140,8,14,"B",40.67,32.33,20
"141",141,8,15,"A",40,29.33,32.5
"142",142,8,16,"A",41.33,40,NA
"143",143,8,17,"A",41.33,39.67,NA
"144",144,8,18,"A",40.67,40.67,NA
"145",145,9,1,"C",39.33,29.33,33
"146",146,9,2,"C",39.33,33.33,31
"147",147,9,3,"C",41,25,20.67
"148",148,9,4,"C",40.33,22.67,16
"149",149,9,5,"C",40.33,27,19.33
"150",150,9,6,"C",39.67,29.33,22
"151",151,9,7,"C",39.33,29,12
"152",152,9,8,"C",41,29,31
"153",153,9,9,"C",40,28.33,31.33
"154",154,9,10,"C",38.67,30,32.5
"155",155,9,11,"C",39.67,28.33,20.33
"156",156,9,12,"C",40.33,31.67,6
"157",157,9,13,"C",40.67,27.33,14.33
"158",158,9,14,"C",40,26.67,21.33
"159",159,9,15,"C",39.33,30.67,8
"160",160,9,16,"C",41,35.67,39
"161",161,9,17,"",40.67,40.67,35.5
"162",162,9,18,"",41,41,2
"163",163,10,1,"C",39.33,29.33,38
"164",164,10,2,"C",39.33,28.33,29.33
"165",165,10,3,"C",39.67,27.67,24
"166",166,10,4,"C",39.33,24.67,31
"167",167,10,5,"C",39.33,23,22.33
"168",168,10,6,"C",39,22.67,27
"169",169,10,7,"C",40.33,25.67,18.33
"170",170,10,8,"C",40.33,26.67,29
"171",171,10,9,"C",39.67,27,21.67
"172",172,10,10,"C",39.33,28,28.67
"173",173,10,11,"C",40.33,28.67,35
"174",174,10,12,"C",40.33,29.67,21.5
"175",175,10,13,"C",40,25.33,15.33
"176",176,10,14,"C",39,27.67,6.67
"177",177,10,15,"C",39.5,29.75,21
"178",178,10,16,"C",40,35,26.5
"179",179,10,17,"",40,40,33
"180",180,10,18,"C",40.67,40.67,21.67
"181",181,11,1,"C",38.67,27.67,7.5
"182",182,11,2,"C",39.67,26.33,21.5
"183",183,11,3,"C",39,27.33,12
"184",184,11,4,"C",39.67,23.33,14.33
"185",185,11,5,"C",38.33,23.67,16
"186",186,11,6,"C",39,22.67,16.67
"187",187,11,7,"C",40,26.67,13.33
"188",188,11,8,"C",39.33,27,25.33
"189",189,11,9,"C",39.67,30.33,28
"190",190,11,10,"C",40,26.67,37.5
"191",191,11,11,"C",40.33,27.67,35.5
"192",192,11,12,"C",41.33,24.33,23
"193",193,11,13,"C",40.67,22.67,15.67
"194",194,11,14,"C",42,22,3.5
"195",195,11,15,"C",39.33,26,14
"196",196,11,16,"C",39.33,35.33,28
"197",197,11,17,"C",39.33,32.33,21.5
"198",198,11,18,"C",40,38.67,15
"199",199,12,1,"C",39.5,33.5,15
"200",200,12,2,"C",41.5,31,15
"201",201,12,3,"C",39.33,25.33,23
"202",202,12,4,"C",40,25.67,16
"203",203,12,5,"C",40.33,22,13.5
"204",204,12,6,"C",40,25.67,28.5
"205",205,12,7,"C",41.33,28.33,17.67
"206",206,12,8,"C",39.67,25,21
"207",207,12,9,"C",40.67,29,31
"208",208,12,10,"C",40.33,29.67,10
"209",209,12,11,"C",39,26.33,29.33
"210",210,12,12,"C",39,25.67,23
"211",211,12,13,"C",39.33,24,33.67
"212",212,12,14,"C",40,23.33,27.67
"213",213,12,15,"C",36,24,18.33
"214",214,12,16,"C",39.67,32,33
"215",215,12,17,"C",41,28.67,28
"216",216,12,18,"C",40.33,32.67,NA
"217",217,13,1,"",38,32.5,22.5
"218",218,13,2,"D",40,28,15
"219",219,13,3,"D",40.67,25,15.5
"220",220,13,4,"",40,15,22.5
"221",221,13,5,"D",40.33,17.67,20
"222",222,13,6,"D",41,27,23
"223",223,13,7,"D",39.5,28.5,24
"224",224,13,8,"D",41,28.5,7
"225",225,13,9,"D",40.5,23.5,25
"226",226,13,10,"D",40.5,24.5,15
"227",227,13,11,"D",40,23.5,27.5
"228",228,13,12,"D",40.5,27,24.5
"229",229,13,13,"D",40.5,26,23
"230",230,13,14,"D",40,19.5,11
"231",231,13,15,"D",40.5,22.5,24.5
"232",232,13,16,"D",40,27.5,30
"233",233,13,17,"D",40.5,28,32
"234",234,13,18,"D",40.5,28.5,38
"235",235,14,1,"D",39.5,28,15
"236",236,14,2,"D",40.5,26,19
"237",237,14,3,"D",39,24,11
"238",238,14,4,"D",39,26.5,17
"239",239,14,5,"D",40.5,24.5,20.5
"240",240,14,6,"D",40,23,21.5
"241",241,14,7,"D",39.5,27,21
"242",242,14,8,"D",41,27,17
"243",243,14,9,"D",39.5,25.5,36.5
"244",244,14,10,"D",39.5,25,23
"245",245,14,11,"D",40,30.5,30.5
"246",246,14,12,"D",39.5,18,25.5
"247",247,14,13,"D",40,28.5,19.5
"248",248,14,14,"D",39.5,20.5,7.5
"249",249,14,15,"D",40.5,26.5,12.5
"250",250,14,16,"D",40,19,20
"251",251,14,17,"D",41,31.5,35
"252",252,14,18,"",39.5,33,NA
"253",253,15,1,"D",36.5,26,13
"254",254,15,2,"D",40,21.5,7
"255",255,15,3,"D",43,23,14
"256",256,15,4,"D",38.5,24,21
"257",257,15,5,"D",36.5,28,9
"258",258,15,6,"D",40,24.5,27
"259",259,15,7,"D",40,27.5,28
"260",260,15,8,"D",38.5,25,16
"261",261,15,9,"D",39,24,25
"262",262,15,10,"D",39.5,22,32
"263",263,15,11,"D",39,26.5,36.5
"264",264,15,12,"D",37,24.5,22.5
"265",265,15,13,"D",37.5,29,11
"266",266,15,14,"D",39,24.5,12
"267",267,15,15,"D",40.5,22.5,17
"268",268,15,16,"D",39.5,21,27
"269",269,15,17,"D",40,24.5,NA
"270",270,15,18,"D",40.5,31,NA
"271",271,16,1,"D",40.5,25,16
"272",272,16,2,"D",41,27.5,NA
"273",273,16,3,"D",38.5,26.5,37
"274",274,16,4,"D",39.5,18,26.5
"275",275,16,5,"D",39,21.5,20.5
"276",276,16,6,"D",40,25.5,21
"277",277,16,7,"D",40,28.5,22.5
"278",278,16,8,"D",40,24,15.5
"279",279,16,9,"D",39.5,23,32
"280",280,16,10,"D",39,26.5,34
"281",281,16,11,"D",39.5,29,10.5
"282",282,16,12,"D",39,26,29.5
"283",283,16,13,"D",39,20,34
"284",284,16,14,"D",36,28,11
"285",285,16,15,"D",38.5,28,12
"286",286,16,16,"D",39,23.5,15
"287",287,16,17,"D",40,24,18.5
"288",288,16,18,"D",39,26.5,23.5
"289",289,17,1,"E",40,30,19
"290",290,17,2,"E",40.5,27,20
"291",291,17,3,"E",38.5,25,24.5
"292",292,17,4,"E",40,28.5,13
"293",293,17,5,"E",39.5,22,8.5
"294",294,17,6,"E",41,26.5,33
"295",295,17,7,"E",38.5,26.5,32
"296",296,17,8,"E",39.5,27.5,19
"297",297,17,9,"E",41,27,NA
"298",298,17,10,"E",40,26.5,37
"299",299,17,11,"E",40,27,18.5
"300",300,17,12,"E",39.5,28,19
"301",301,17,13,"E",40.5,22.5,3
"302",302,17,14,"E",40,26,25
"303",303,17,15,"E",40,27.5,25.5
"304",304,17,16,"E",39.5,27,32.5
"305",305,17,17,"E",40.5,16,28.5
"306",306,17,18,"E",40,26.5,24
"307",307,18,1,"E",39.5,30.5,22.5
"308",308,18,2,"E",39.5,29.5,19
"309",309,18,3,"E",37.5,22.5,11
"310",310,18,4,"E",38,24.5,NA
"311",311,18,5,"E",38.5,28.5,NA
"312",312,18,6,"E",38.5,25.5,30
"313",313,18,7,"E",38.5,32.5,27
"314",314,18,8,"E",41.5,27,NA
"315",315,18,9,"E",39,30,NA
"316",316,18,10,"E",41,34,17
"317",317,18,11,"E",39,29.5,27
"318",318,18,12,"E",40,26.5,NA
"319",319,18,13,"E",39,23.5,20.5
"320",320,18,14,"E",38,27.5,32.5
"321",321,18,15,"E",39.5,27,27
"322",322,18,16,"E",38,25,14.5
"323",323,18,17,"E",39,27.5,21
"324",324,18,18,"E",39,31.5,25
"325",325,19,1,"E",40,23,19
"326",326,19,2,"E",39.5,30,30
"327",327,19,3,"E",40.5,25.5,9
"328",328,19,4,"E",38.5,21.5,23
"329",329,19,5,"E",40,26,5.5
"330",330,19,6,"E",34,22.5,8.5
"331",331,19,7,"E",38.5,28.5,28
"332",332,19,8,"E",39,25,36
"333",333,19,9,"E",37.5,26.5,36
"334",334,19,10,"E",40,21.5,25
"335",335,19,11,"E",39.5,30,NA
"336",336,19,12,"E",40.5,29.5,NA
"337",337,19,13,"E",38.5,22,33
"338",338,19,14,"E",37.5,27.5,20
"339",339,19,15,"E",39.5,26,29
"340",340,19,16,"E",41.5,23.5,21.5
"341",341,19,17,"E",40,33,12
"342",342,19,18,"E",39.5,25,12.5
"343",343,20,1,"",39.5,13.5,13
"344",344,20,2,"E",39,21.5,16
"345",345,20,3,"E",38.33,22.67,16.5
"346",346,20,4,"E",40,22.5,20
"347",347,20,5,"E",38.5,28,16.5
"348",348,20,6,"",40,14.5,27
"349",349,20,7,"",39,20,9.5
"350",350,20,8,"E",36,23,30
"351",351,20,9,"E",38.5,25.5,33
"352",352,20,10,"E",39.5,23.5,38
"353",353,20,11,"E",39,24,26
"354",354,20,12,"E",40.5,21.5,NA
"355",355,20,13,"E",39.5,24.5,27.5
"356",356,20,14,"E",40.5,26,22.5
"357",357,20,15,"E",41.5,26,31.5
"358",358,20,16,"E",39.5,25.5,14
"359",359,20,17,"E",38.5,31.5,4.5
"360",360,20,18,"E",38,25.5,8.5
"361",361,21,2,"F",40,30,14
"362",362,21,3,"F",38.5,15,18
"363",363,21,4,"F",39.5,22,11
"364",364,21,5,"F",38,21,16.5
"365",365,21,6,"F",40,26.5,14.5
"366",366,21,7,"F",39.5,18,11
"367",367,21,8,"F",40,20,14.5
"368",368,21,9,"F",40,24.5,21.5
"369",369,21,10,"F",40,24.5,23.5
"370",370,21,11,"F",41.5,27.5,23.5
"371",371,21,12,"",41,30.5,21.5
"372",372,21,13,"F",40.5,23.5,25
"373",373,21,14,"F",38,26.5,13.5
"374",374,21,15,"F",41,18.5,17.5
"375",375,21,16,"F",40,29.5,9
"376",376,21,17,"F",39.5,26,9.5
"377",377,21,18,"",41.5,34,9.5
"378",378,22,3,"F",37.5,26,13.5
"379",379,22,4,"F",38.5,24,16.5
"380",380,22,5,"F",39,19,19.5
"381",381,22,6,"F",37.5,15.5,15
"382",382,22,7,"F",40.5,13.5,19
"383",383,22,8,"F",39.5,30,10
"384",384,22,9,"F",39,27,NA
"385",385,22,10,"F",39.5,26.5,37
"386",386,22,11,"F",38.5,26.5,37
"387",387,22,12,"F",33.5,20,26
"388",388,22,13,"F",38,27,5.5
"389",389,22,14,"F",36.5,28,18
"390",390,22,15,"F",40.5,27.5,15
"391",391,22,16,"F",41.5,13.5,7
"392",392,22,17,"F",41.5,28.5,3.5
"393",393,22,18,"",35.5,34,27
"394",394,23,4,"F",40.5,27,5
"395",395,23,5,"F",40.5,29,11.5
"396",396,23,6,"F",41.5,21,11
"397",397,23,7,"F",41.5,28,20
"398",398,23,8,"F",40.5,25.5,22
"399",399,23,9,"F",40.5,27,13
"400",400,23,10,"F",40,27,13
"401",401,23,11,"F",39,24,9.5
"402",402,23,12,"F",40,27,14.5
"403",403,23,13,"F",40,26.5,12
"404",404,23,14,"",40,32.5,11.5
"405",405,23,15,"",40.5,32,17.5
"406",406,23,16,"",41,35,12.5
"407",407,23,17,"F",40.5,28,8.5
"408",408,24,5,"F",39,14.5,4
"409",409,24,6,"F",NA,NA,NA
"410",410,24,7,"F",40.5,25.5,7.5
"411",411,24,8,"F",37,22,11.5
"412",412,24,9,"F",40,24.5,3
"413",413,24,10,"F",36.5,21.5,16.5
"414",414,24,11,"F",39,20.5,22
"415",415,24,12,"F",38.5,23.5,12
"416",416,24,13,"F",39,20,5
"417",417,24,14,"F",39.5,22.5,16.5
"418",418,24,15,"F",41,20.5,10
"419",419,24,16,"F",39,19,29
"420",420,25,6,"F",40.5,17.5,5
"421",421,25,7,"F",41.5,17.5,13.5
"422",422,25,8,"F",41,17.5,12
"423",423,25,9,"F",40.5,24.5,34.5
"424",424,25,10,"F",41,21.5,29
"425",425,25,11,"F",40.5,23,26
"426",426,25,12,"F",43,26,17
"427",427,25,13,"F",40.5,19.5,1
"428",428,25,14,"F",40,20.5,29
"429",429,25,15,"F",41.5,27,23
"430",430,26,7,"F",40.5,14,9
"431",431,26,8,"F",41,17.5,13.5
"432",432,26,9,"",39,10,17
"433",433,26,10,"F",26,21.5,NA
"434",434,26,11,"F",33.5,15,12
"435",435,26,12,"F",40,13,22
"436",436,26,13,"F",39,16.5,13
"437",437,26,14,"F",42.5,21,22
