"","plot","type","sp","cc.total","cc.planted","cc.weed","block","phyD","trtD"
"3",2,"Plug","ML.7316.rep1","85",NA,NA,"B","M","L"
"12",10,"Seed","LL.653844.rep1","97","75","45","A","L","L"
"17",14,"Seed","HL.246518.rep1","55","25","35","A","H","L"
"19",15,"Plug","HH.1372866.rep1","75",NA,NA,"A","H","H"
"27",22,"Plug","MH.1825752.rep1","75",NA,NA,"B","M","H"
"29",23,"Seed","ML.1623993.rep1","65","35","45","A","M","L"
"31",24,"Plug","LH.1211957.rep1","75",NA,NA,"A","L","H"
"34",26,"Seed","ML.520465.rep1","75","65","15","A","M","L"
"37",28,"Seed","LH.1211957.rep1","85","65","35","A","L","H"
"41",31,"Seed","HH.1374866.rep1","85","75","15","A","H","H"
"46",35,"Plug","MH.928535.rep1","65",NA,NA,"A","M","H"
"48",36,"Plug","HH.782981.rep1","75",NA,NA,"A","H","H"
"50",37,"Seed","LL.1368877.rep1","75","35","45","B","L","L"
"56",42,"Plug","ML.520465.rep1","75",NA,NA,"A","M","L"
"60",45,"Seed","MH.928535.rep1","65","55","35","A","M","H"
"63",47,"Plug","MH.831258.rep1","92.5",NA,NA,"A","M","H"
"66",49,"Seed","MH.831258.rep1","99.5","75","35","A","M","H"
"68",50,"Seed","HL.456657.rep1","75","55","45","A","H","L"
"74",55,"Seed","LH.389271.rep1","65","45","45","B","L","H"
"80",60,"Plug","HL.456657.rep1","85",NA,NA,"A","H","L"
"82",61,"Plug","HL.246518.rep1","55",NA,NA,"A","H","L"
"87",64,"Seed","HH.782981.rep1","65","25","55","A","H","H"
"94",70,"Seed","LH.1417663.rep1","85","35","55","A","L","H"
"99",74,"Seed","LL.305726.rep1","92.5","92.5","7.5","B","L","L"
"104",78,"Plug","LH.389271.rep1","75",NA,NA,"B","L","H"
"106",79,"Plug","HH.1018148.rep1","75",NA,NA,"B","H","H"
"110",82,"Plug","LL.305726.rep1","92.5",NA,NA,"B","L","L"
"114",85,"Seed","HH.1124950.rep1","65","45","45","B","H","H"
"117",87,"Plug","LH.1417663.rep1","75",NA,NA,"A","L","H"
"119",88,"Plug","LL.1091767.rep1","85",NA,NA,"A","L","L"
"122",90,"Seed","LL.1091767.rep1","75","55","25","A","L","L"
"125",92,"Plug","LH.1773854.rep1","92.5",NA,NA,"B","L","H"
"128",94,"Plug","MH.1666090.rep1","65",NA,NA,"B","M","H"
"130",95,"Plug","HH.1124950.rep1","85",NA,NA,"B","H","H"
"132",96,"Plug","ML.975885.rep1","65",NA,NA,"B","M","L"
"135",98,"Seed","MH.1825752.rep1","85","75","25","B","M","H"
"137",99,"Seed","LH.1773854.rep1","92.5","25","92.5","B","L","H"
"142",102,"Seed","HL.1403369.rep1","75","45","35","B","H","L"
"145",104,"Seed","ML.975885.rep1","75","25","65","B","M","L"
"147",105,"Plug","ML.1623993.rep1","75",NA,NA,"A","M","L"
"153",110,"Seed","HH.1018148.rep1","65","45","45","B","H","H"
"156",112,"Seed","HL.1338677.rep1","65","45","45","B","H","L"
"161",116,"Seed","ML.7316.rep1","85","75","15","B","M","L"
"167",120,"Plug","HL.1338677.rep1","75",NA,NA,"B","H","L"
"172",124,"Plug","LL.653844.rep1","75",NA,NA,"A","L","L"
"177",128,"Plug","LL.1368877.rep1","75",NA,NA,"B","L","L"
"185",135,"Plug","HL.1403369.rep1","65",NA,NA,"B","H","L"
"189",138,"Seed","MH.1666090.rep1","65","45","25","B","M","H"
"199",147,"Seed","LH.236970.rep1","85","65","45","C","L","H"
"201",148,"Plug","ML.585975.rep1","65",NA,NA,"C","M","L"
"204",150,"Seed","HL.1817876.rep1","75","45","55","C","H","L"
"206",151,"Seed","HH.623705.rep1","75","45","45","C","H","H"
"208",152,"Plug","LH.1681808.rep1","85",NA,NA,"C","L","H"
"211",154,"Seed","HL.275733.rep1","65","55","25","C","H","L"
"217",159,"Plug","LL.567931.rep1","65",NA,NA,"C","L","L"
"219",160,"Plug","MH.1987913.rep1","75",NA,NA,"C","M","H"
"223",163,"Plug","HH.1709432.rep1","75",NA,NA,"C","H","H"
"232",171,"Seed","LL.660073.rep1","85","65","45","C","L","L"
"234",172,"Plug","MH.75072.rep1","55",NA,NA,"C","M","H"
"237",174,"Plug","HH.623705.rep1","75",NA,NA,"C","H","H"
"245",181,"Plug","LH.236970.rep1","75",NA,NA,"C","L","H"
"247",182,"Seed","LH.1681808.rep1","65","45","35","C","L","H"
"251",185,"Seed","ML.628076.rep1","65","35","45","C","M","L"
"255",188,"Plug","HL.1817876.rep1","75",NA,NA,"C","H","L"
"260",192,"Seed","MH.1987913.rep1","55","35","45","C","M","H"
"265",195,"Seed","HH.1709432.rep1","75","65","25","C","H","H"
"267",196,"Seed","MH.75072.rep1","75","55","45","C","M","H"
"271",199,"Plug","ML.628076.rep1","92.5",NA,NA,"C","M","L"
"274",201,"Seed","ML.585975.rep1","55","55","15","C","M","L"
"279",205,"Plug","LL.660073.rep1","75",NA,NA,"C","L","L"
"286",211,"Plug","HL.275733.rep1","65",NA,NA,"C","H","L"
"291",215,"Seed","LL.567931.rep1","85","55","45","C","L","L"
"296",219,"Plug","HL.1403369.rep2","75",NA,NA,"D","H","L"
"300",222,"Seed","HH.1018148.rep2","55","35","65","D","H","H"
"302",223,"Plug","LH.1211957.rep2","55",NA,NA,"D","L","H"
"304",224,"Seed","LH.1211957.rep2","85","75","15","D","L","H"
"307",226,"Seed","HL.275733.rep2","85","35","55","D","H","L"
"312",230,"Plug","ML.585975.rep2","55",NA,NA,"D","M","L"
"317",234,"Plug","LH.1773854.rep2","85",NA,NA,"D","L","H"
"322",238,"Seed","LH.1773854.rep2","75","65","15","D","L","H"
"325",240,"Plug","LL.1368877.rep2","85",NA,NA,"D","L","L"
"332",246,"Seed","MH.1666090.rep2","75","45","45","D","M","H"
"340",253,"Seed","HH.1709432.rep2","75","75","15","D","H","H"
"347",259,"Seed","LL.1368877.rep2","45","45","15","D","L","L"
"356",266,"Plug","MH.1825752.rep2","75",NA,NA,"D","M","H"
"359",268,"Seed","MH.1825752.rep2","65","45","45","D","M","H"
"362",270,"Seed","HL.1403369.rep2","75","35","65","D","H","L"
"364",271,"Plug","LL.653844.rep2","55",NA,NA,"D","L","L"
"367",273,"Plug","ML.1623993.rep2","92.5",NA,NA,"D","M","L"
"372",277,"Seed","LL.653844.rep2","75","65","25","D","L","L"
"374",278,"Plug","MH.1666090.rep2","85",NA,NA,"D","M","H"
"378",281,"Plug","HH.1018148.rep2","97",NA,NA,"D","H","H"
"382",284,"Plug","HH.1709432.rep2","45",NA,NA,"D","H","H"
"385",286,"Seed","ML.1623993.rep2","75","35","55","D","M","L"
"387",287,"Seed","ML.585975.rep2","75","45","25","D","M","L"
"389",288,"Plug","HL.275733.rep2","85",NA,NA,"D","H","L"
"393",291,"Plug","LL.567931.rep2","97",NA,NA,"E","L","L"
"395",292,"Seed","HL.1338677.rep2","75","55","35","E","H","L"
"397",293,"Seed","HL.246518.rep2","65","45","45","E","H","L"
"400",295,"Seed","ML.628076.rep2","65","35","45","E","M","L"
"402",296,"Plug","LL.660073.rep2","65",NA,NA,"E","L","L"
"407",300,"Plug","MH.75072.rep2","65",NA,NA,"E","M","H"
"414",305,"Seed","LH.389271.rep2","65","35","25","E","L","H"
"419",309,"Plug","ML.975885.rep2","55",NA,NA,"E","M","L"
"423",312,"Seed","HH.1124950.rep2","85","35","45","E","H","H"
"427",315,"Seed","ML.975885.rep2","75","65","25","E","M","L"
"429",316,"Seed","LH.1681808.rep2","85","35","35","E","L","H"
"432",318,"Plug","HL.1338677.rep2","65",NA,NA,"E","H","L"
"434",319,"Plug","MH.928535.rep2","75",NA,NA,"E","M","H"
"436",320,"Plug","ML.628076.rep2","85",NA,NA,"E","M","L"
"438",321,"Plug","LH.389271.rep2","75",NA,NA,"E","L","H"
"441",323,"Plug","HH.623705.rep2","45",NA,NA,"E","H","H"
"450",331,"Seed","MH.75072.rep2","75","55","35","E","M","H"
"453",333,"Plug","LH.1681808.rep2","92.5",NA,NA,"E","L","H"
"456",335,"Seed","LL.660073.rep2","85","35","55","E","L","L"
"459",337,"Seed","LL.567931.rep2","85","35","35","E","L","L"
"469",346,"Plug","HL.246518.rep2","55",NA,NA,"E","H","L"
"478",354,"Seed","MH.928535.rep2","75","35","45","E","M","H"
"480",355,"Seed","HH.623705.rep2","85","35","55","E","H","H"
"482",356,"Plug","HH.1124950.rep2","75",NA,NA,"E","H","H"
"491",364,"Seed","MH.1987913.rep2","75","55","25","F","M","H"
"493",365,"Seed","LH.236970.rep2","65","25","35","F","L","H"
"497",368,"Plug","HL.456657.rep2","75",NA,NA,"F","H","L"
"499",369,"Plug","LL.305726.rep2","75",NA,NA,"F","L","L"
"505",374,"Seed","ML.7316.rep2","85","75","25","F","M","L"
"509",376,"Seed","LL.1091767.rep2","75","65","25","F","L","L"
"513",379,"Plug","HH.1374866.rep2","75",NA,NA,"F","H","H"
"515",380,"Plug","MH.1987913.rep2","75",NA,NA,"F","M","H"
"517",381,"Plug","ML.7316.rep2","75",NA,NA,"F","M","L"
"520",383,"Seed","HL.1817876.rep2","75","25","35","F","H","L"
"525",387,"Seed","HL.456657.rep2","85","45","35","F","H","L"
"528",389,"Seed","ML.520465.rep2","65","65","15","F","M","L"
"532",392,"Plug","MH.831258.rep2","45",NA,NA,"F","M","H"
"536",395,"Seed","HH.1374866.rep2","75","65","25","F","H","H"
"538",396,"Plug","HH.782981.rep2","75",NA,NA,"F","H","H"
"540",397,"Plug","LH.236970.rep2","85",NA,NA,"F","L","H"
"542",398,"Seed","LL.305726.rep2","85","85","15","F","L","L"
"547",402,"Seed","MH.831258.rep2","75","55","35","F","M","H"
"558",412,"Plug","ML.520465.rep2","92.5",NA,NA,"F","M","L"
"561",414,"Plug","LH.1417663.rep2","85",NA,NA,"F","L","H"
"566",418,"Seed","LH.1417663.rep2","75","25","65","F","L","H"
"573",424,"Plug","LL.1091767.rep2","65",NA,NA,"F","L","L"
"576",426,"Seed","HH.782981.rep2","65","25","55","F","H","H"
"580",429,"Plug","HL.1817876.rep2","55",NA,NA,"F","H","L"
