,C,E,M,U
Castanea_dentata,0,0,0,1
Castanopsis_fissa,0,0,0,1
Lithocarpus_hancei,0,0,0,1
Quercus_acerifolia,0,1,0,0
Quercus_acutidens,1,0,0,0
Quercus_acutifolia,0,0,1,0
Quercus_acutissima,0,0,0,1
Quercus_affinis,0,0,1,0
Quercus_agrifolia,1,0,0,0
Quercus_ajoensis,0,0,1,0
Quercus_alba,0,1,0,0
Quercus_aliena,0,0,0,1
Quercus_arizonica,0,0,1,0
Quercus_arkansana,0,1,0,0
Quercus_austrina,0,1,0,0
Quercus_baronii,0,0,0,1
Quercus_benthamii,0,0,1,0
Quercus_berberidifolia,1,0,0,0
Quercus_bicolor,0,1,0,0
Quercus_boissieri,0,0,0,1
Quercus_boyntonii,0,1,0,0
Quercus_brandegeei,0,0,1,0
Quercus_buckleyi,0,1,0,0
Quercus_canariensis,0,0,0,1
Quercus_canbyi,0,0,1,0
Quercus_candicans,0,0,1,0
Quercus_castanea,0,0,1,0
Quercus_chapmanii,0,1,0,0
Quercus_chrysolepis,1,0,1,0
Quercus_coccinea,0,1,0,0
Quercus_conzattii,0,0,1,0
Quercus_copeyensis,0,0,1,0
Quercus_cornelius-mulleri,1,0,0,0
Quercus_corrugata,0,0,1,0
Quercus_cortesii,0,0,1,0
Quercus_costaricensis,0,0,1,0
Quercus_crassifolia,0,0,1,0
Quercus_crassipes,0,0,1,0
Quercus_crispifolia,0,0,1,0
Quercus_dalechampii,0,0,0,1
Quercus_delgadoana,0,0,1,0
Quercus_dentata,0,0,0,1
Quercus_deserticola,0,0,1,0
Quercus_diversifolia,0,0,1,0
Quercus_douglasii,1,0,0,0
Quercus_dumosa,1,0,0,0
Quercus_durata,1,0,0,0
Quercus_eduardii,0,0,1,0
Quercus_elliottii,0,1,0,0
Quercus_ellipsoidalis,0,1,0,0
Quercus_elliptica,0,0,1,0
Quercus_emoryi,0,0,1,0
Quercus_engelmannii,1,0,1,0
Quercus_eugeniifolia,0,0,1,0
Quercus_fabri,0,0,0,1
Quercus_faginea,0,0,0,1
Quercus_falcata,0,1,0,0
Quercus_fusiformis,0,1,1,0
Quercus_garryana,1,0,0,0
Quercus_geminata,0,1,0,0
Quercus_gentryi,0,0,1,0
Quercus_georgiana,0,1,0,0
Quercus_germana,0,0,1,0
Quercus_glabrescens,0,0,1,0
Quercus_glaucescens,0,0,1,0
Quercus_glaucoides,0,0,1,0
Quercus_graciliformis,0,0,1,0
Quercus_grahamii,0,0,1,0
Quercus_gravesii,0,0,1,0
Quercus_greggii,0,0,1,0
Quercus_griffithii,0,0,0,1
Quercus_grisea,0,0,1,0
Quercus_havardii,0,1,1,0
Quercus_hemisphaerica,0,1,0,0
Quercus_hinckleyi,0,0,1,0
Quercus_hypoleucoides,0,0,1,0
Quercus_ilicifolia,0,1,0,0
Quercus_iltisii,0,0,1,0
Quercus_imbricaria,0,1,0,0
Quercus_incana,0,1,0,0
Quercus_inopina,0,1,0,0
Quercus_insignis,0,0,1,0
Quercus_john-tuckeri,1,0,0,0
Quercus_kelloggii,1,0,0,0
Quercus_laceyi,0,1,1,0
Quercus_laeta,0,0,1,0
Quercus_laevis,0,1,0,0
Quercus_lancifolia,0,0,1,0
Quercus_laurifolia,0,1,0,0
Quercus_laurina,0,0,1,0
Quercus_libani,0,0,0,1
Quercus_liebmanii,0,0,1,0
Quercus_lobata,1,0,0,0
Quercus_lowilliamsii,0,0,1,0
Quercus_lyrata,0,1,0,0
Quercus_macranthera,0,0,0,1
Quercus_macrocarpa,0,1,0,0
Quercus_magnoliifolia,0,0,1,0
Quercus_margarettae,0,1,0,0
Quercus_marilandica,0,1,0,0
Quercus_martinezii,0,0,1,0
Quercus_mexicana,0,0,1,0
Quercus_michauxii,0,1,0,0
Quercus_minima,0,1,0,0
Quercus_mohriana,0,1,1,0
Quercus_mongolica,0,0,0,1
Quercus_montana,0,1,0,0
Quercus_muehlenbergii,0,1,0,0
Quercus_myrtifolia,0,1,0,0
Quercus_nigra,0,1,0,0
Quercus_oblongifolia,0,0,1,0
Quercus_obtusata,0,0,1,0
Quercus_ocoteifolia,0,0,1,0
Quercus_oglethorpensis,0,1,0,0
Quercus_oleoides,0,0,1,0
Quercus_pacifica,1,0,0,0
Quercus_pagoda,0,1,0,0
Quercus_palmeri,1,0,0,0
Quercus_palustris,0,1,0,0
Quercus_parvula,1,0,0,0
Quercus_peduncularis,0,0,1,0
Quercus_peninsularis,0,0,1,0
Quercus_petraea,0,0,0,1
Quercus_phellos,0,1,0,0
Quercus_pinnativenulosa,0,0,1,0
Quercus_planipocula,0,0,1,0
Quercus_polymorpha,0,0,1,0
Quercus_pontica,0,0,0,1
Quercus_potosina,0,0,1,0
Quercus_prinoides,0,1,0,0
Quercus_pubescens,0,0,0,1
Quercus_pungens,0,1,1,0
Quercus_purulhana,0,0,1,0
Quercus_pyrenaica,0,0,0,1
Quercus_resinosa,0,0,1,0
Quercus_robur,0,0,0,1
Quercus_rubra,0,1,0,0
Quercus_rugosa,0,0,1,0
Quercus_sadleriana,1,0,0,0
Quercus_sagraeana,0,1,1,0
Quercus_sapotifolia,0,0,1,0
Quercus_sartorii,0,0,1,0
Quercus_scytophylla,0,0,1,0
Quercus_segoviensis,0,0,1,0
Quercus_serrata,0,0,0,1
Quercus_shumardii,0,1,0,0
Quercus_similis,0,1,0,0
Quercus_sinuata,0,1,1,0
Quercus_sp1,0,0,1,0
Quercus_stellata,0,1,0,0
Quercus_texana,0,1,0,0
Quercus_tomentella,1,0,0,0
Quercus_toumeyi,0,0,1,0
Quercus_trojana,0,0,0,1
Quercus_turbinella,1,0,1,0
Quercus_uxoris,0,0,1,0
Quercus_vacciniifolia,1,0,0,0
Quercus_vaseyana,0,1,1,0
Quercus_velutina,0,1,0,0
Quercus_virginiana,0,1,1,0
Quercus_wislizeni,1,0,0,0
